Temporada,Jornada,Local,Resultado,Visitante,Local_gol,Visitante_gol
2022-23,18,RB Leipzig,2 - 1,Stuttgart,25.49,68
2022-23,18,Friburgo,3 - 1,Augsburgo,13.30.85,29
2022-23,18,Mainz 05,5 - 2,Bochum,1.17.28.57.87,70.72
2022-23,18,1899 Hoffenheim,1 - 4,Borussia Mönchengladbach,80,12.37.83.90
2022-23,18,Hertha BSC,0 - 2,Unión Berlín,-,44.67
2022-23,18,Werder Bremen,2 - 1,Wolfsburgo,24.77,90
2022-23,18,Bayern de Múnich,1 - 1,Eintracht Frankfurt,34,69
2022-23,18,Schalke 04,0 - 0,Colonia,-,-
2022-23,18,Bayer Leverkusen,0 - 2,Borussia Dortmund,-,33.53
2022-23,19,Augsburgo,1 - 0,Bayer Leverkusen,55,-
2022-23,19,Borussia Dortmund,5 - 1,Friburgo,25.48.51.69.82,45
2022-23,19,Unión Berlín,2 - 1,Mainz 05,32.84,78
2022-23,19,Colonia,0 - 0,RB Leipzig,-,-
2022-23,19,Eintracht Frankfurt,3 - 0,Hertha BSC,21.28.90,-
2022-23,19,Bochum,5 - 2,1899 Hoffenheim,22.30.40.69.83,49.77
2022-23,19,Borussia Mönchengladbach,0 - 0,Schalke 04,-,-
2022-23,19,Stuttgart,0 - 2,Werder Bremen,-,59.77
2022-23,19,Wolfsburgo,2 - 4,Bayern de Múnich,44.80,9.14.19.73
2022-23,20,Schalke 04,0 - 0,Wolfsburgo,-,-
2022-23,20,Bayern de Múnich,3 - 0,Bochum,41.64.73,-
2022-23,20,Friburgo,2 - 1,Stuttgart,60.84,30
2022-23,20,Mainz 05,3 - 1,Augsburgo,21.24.52,28
2022-23,20,1899 Hoffenheim,1 - 3,Bayer Leverkusen,77,6.47.56
2022-23,20,Werder Bremen,0 - 2,Borussia Dortmund,-,67.85
2022-23,20,RB Leipzig,1 - 2,Unión Berlín,24,61.72
2022-23,20,Hertha BSC,4 - 1,Borussia Mönchengladbach,30.52.90.90,17
2022-23,20,Colonia,3 - 0,Eintracht Frankfurt,49.71.86,-
2022-23,21,Augsburgo,1 - 0,1899 Hoffenheim,88,-
2022-23,21,Borussia Mönchengladbach,3 - 2,Bayern de Múnich,13.55.84,35.90
2022-23,21,Wolfsburgo,0 - 3,RB Leipzig,-,14.85.90
2022-23,21,Bochum,0 - 2,Friburgo,-,39.51
2022-23,21,Stuttgart,3 - 0,Colonia,9.59.74,-
2022-23,21,Eintracht Frankfurt,2 - 0,Werder Bremen,7.52,-
2022-23,21,Unión Berlín,0 - 0,Schalke 04,-,-
2022-23,21,Borussia Dortmund,4 - 1,Hertha BSC,27.31.76.90,46
2022-23,21,Bayer Leverkusen,2 - 3,Mainz 05,32.58,26.45.82
2022-23,22,Mainz 05,4 - 0,Borussia Mönchengladbach,25.49.72.90,-
2022-23,22,RB Leipzig,2 - 1,Eintracht Frankfurt,6.40,61
2022-23,22,Colonia,0 - 2,Wolfsburgo,-,4.68
2022-23,22,1899 Hoffenheim,0 - 1,Borussia Dortmund,-,43
2022-23,22,Hertha BSC,2 - 0,Augsburgo,61.70,-
2022-23,22,Werder Bremen,3 - 0,Bochum,29.43.59,-
2022-23,22,Schalke 04,2 - 1,Stuttgart,10.40,63
2022-23,22,Friburgo,1 - 1,Bayer Leverkusen,29,67
2022-23,22,Bayern de Múnich,3 - 0,Unión Berlín,31.40.45,-
2022-23,23,Borussia Dortmund,2 - 1,RB Leipzig,21.39,74
2022-23,23,Unión Berlín,0 - 0,Colonia,-,-
2022-23,23,Mainz 05,1 - 0,1899 Hoffenheim,33,-
2022-23,23,Borussia Mönchengladbach,0 - 0,Friburgo,-,-
2022-23,23,Bochum,0 - 2,Schalke 04,-,45.79
2022-23,23,Augsburgo,2 - 1,Werder Bremen,5.46,16
2022-23,23,Stuttgart,1 - 2,Bayern de Múnich,88,39.62
2022-23,23,Bayer Leverkusen,4 - 1,Hertha BSC,12.21.60.73,67
2022-23,23,Wolfsburgo,2 - 2,Eintracht Frankfurt,10.43,22.26
